player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-2618-9156,LAUR,19.22,2,1,0,0,0
SV-2626-8256,HAYU*,19.63,7,2,2,0,0
SV-2629-2000,KAZAAAN!,20.19,41,44,5,0,0
SV-2645-2783,CHIHAYA*,20.28,6,7,7,0,0
SV-2652-3294,IW-SARAH,20.53
SV-2657-0642,OKITA,20.69,20,19,5,3,0
SV-2695-2268,-100K,20.00,13,3,1,0,0
SV-2697-8777,IF-NEFIA,20.17,14,37,21,0,0
SV-2708-7585,SSG.C3P.,20.05,3,11,2,0,0
SV-2726-8829,LV.MAX,20.07,0,3,0,0,0
SV-2731-7178,SWL,20.23,32,93,7,0,0
SV-2735-7498,KAG,20.06,221,44,5,0,0
SV-2743-5597,K.FLORIA,20.53,313,248,35,0,0
SV-2767-7342,OTONE*CH,19.62,3,2,0,0,0
SV-2771-1376,HIKAKIN,19.83,39,19,0,0,0
SV-2773-0976,F.ALPAOM,20.57,387,391,88,0,0
SV-2776-5731,MIYAHOSI,19.81,29,7,0,0,0
SV-2786-4571,KAME,20.34,104,61,21,0,0
SV-2787-5442,BUSHIDO ,20.20,22,20,7,0,0
SV-2789-1619,TALES,20.09,41,41,5,0,0
SV-2798-3151,FAFA?.?,20.57,134,181,57,0,0
SV-2803-0499,3ZUNO387,19.95,85,86,7,0,0
SV-2804-0509,DOMARU,20.24,215,126,13,0,0
SV-2812-8478,JAUZ,20.10
SV-2818-0831,FYNM.ZIP,19.60,97,55,0,0,0
SV-2818-5556,NU,20.02,13,16,0,0,0
SV-2823-2183,REKEI,19.84,77,51,3,0,0
SV-2824-4818,LV.RAIN,19.43,0,0,0,0,0
SV-2829-2124,KADOMA2,20.03
SV-2834-1194,94MA.KMM,20.14,8,12,7,0,0
SV-2865-7293,RTYM,20.18,282,137,10,0,0
SV-2884-6825,S.AYAKA,20.11,259,97,7,0,0
SV-2886-6845,ZNARU,20.68,345,330,114,4,0
SV-2887-1710,AIMER.,19.76,25,15,0,0,0
SV-2889-8457,EMO-I,20.00,17,5,0,0,0
SV-2893-3653,MAEEE.RV,19.96,160,76,6,0,0
SV-2904-1782,W4Z,19.77,172,38,0,0,0
SV-2906-2964,X.NISH,19.79,0,1,0,0,0
SV-2919-4977,SAK,20.13,19,96,4,0,0
SV-2925-6199,KT*RH-NT,19.80
SV-2932-5009,ERIRI.O4,20.00,1,2,0,0,0
SV-2942-7272,OCHINPO,20.62
SV-2968-1610,R-TS*GY,19.78,18,17,2,0,0
SV-2977-5144,TENMU,20.47
SV-2979-6886,KRAG20,20.13,60,83,9,0,0
SV-2987-7988,RAYT,20.27,227,37,20,1,0
SV-3019-3688,UNKNOWN.,19.66
SV-3023-5730,KITAHI75,20.03
SV-3024-0735,LOLGOOD,19.87,0,0,0,0,0
SV-3045-0287,IDLER,19.83,51,22,0,0,0
SV-3083-4076,ARID,19.91,0,13,0,0,0
SV-3089-3436,SUNAHARA,20.20,142,100,13,0,0
SV-3101-9583,WOONGCHA,20.41,38,38,7,0,0
SV-3103-3457,ZZZZZZZZ,19.91,13,22,4,0,0
SV-3105-5199,MIREI P,19.68,12,6,0,0,0
SV-3117-9225,ZEI,20.21,2,12,2,0,0
SV-3127-5622,*-.-*,20.03,27,6,1,0,0
SV-3129-4361,GULI,19.35,8,2,0,0,0
SV-3132-4972,10DUCK,20.16,41,70,5,0,0
SV-3138-4332,HID.34P,20.04,44,9,0,0,0
SV-3150-3773,39.ARISA,19.98
SV-3157-2142,K.CIRNO9,20.84,87,311,73,12,0
SV-3177-8691,*NOG1*,20.59
SV-3178-8561,R.NEK*,20.61,63,133,36,1,0
SV-3179-2565,COMJW,19.90,4,8,0,0,0
SV-3203-2028,BERA,20.04,52,41,3,0,0
SV-3211-0827,CHIKO*,19.85,4,4,0,0,0
SV-3228-4623,RBB*HK,19.93,8,15,2,0,0
SV-3234-3122,KZM.NSX,20.67,206,213,82,7,0
SV-3235-7857,MET.G-G,19.85
SV-3237-4734,EMILIA.B,19.38,48,3,0,0,0
SV-3238-3603,PIGEON,19.94,10,0,0,0,0
SV-3257-6138,YKN.C,19.89,6,42,1,0,0
SV-3258-7191,ILB,19.89,7,28,1,0,0
SV-3273-6480,0-1.REMI,21.03,215,259,124,21,0
SV-3279-2277,SOLTY,19.62
SV-3283-2317,YUURACIA,20.15,153,119,10,0,0
SV-3283-6321,KFC-KAZU,20.00,331,58,1,0,0
SV-3291-7003,F. UZUKI,20.01,84,52,1,0,0
SV-3293-0198,JAEMIN,20.34,12,8,1,0,0
SV-3330-9780,RAN9,20.09,14,12,0,0,0
SV-3358-1555,MACCHA,20.01,1,0,0,0,0
SV-3358-5559,K T T K*,19.80,21,1,0,0,0
SV-3375-7794,810TEX,19.85,12,6,4,0,0
SV-3382-6163,  FAIRY#,20.56,41,76,20,0,0
SV-3384-3761,LOKU,20.15,24,17,4,0,0
SV-3395-6174,RICCA.,20.00,4,2,0,0,0
SV-3411-4374,TSR.BOT,20.49,93,169,32,0,0
SV-3435-4439,#XDD*B*,20.03,18,32,2,0,0
SV-3452-0605,SUMI*MTS,20.05,25,10,2,0,0
SV-3472-1589,KU-TYANV,20.08,4,1,2,0,0
SV-3477-9507,K.RU-D.7,20.07
SV-3496-1451,ATELIER,20.83,48,107,148,10,0
SV-3504-8419,TTTTTTTT,20.08,6,3,0,0,0
SV-3505-9290,RIA.KUN,20.06
SV-3519-0743,SEIA-N,20.55,223,277,29,0,0
SV-3521-1484,PRCN.RV,20.43,265,108,22,0,0
