musicname,artistname,diff,difficult,level,puc_count
虚空と光明のディスクール,日向美ビタースイーツ♪,ADV,1,7,18
虚空と光明のディスクール,日向美ビタースイーツ♪,EXH,2,13,18
黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,NOV,0,5,8
黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,ADV,1,13,11
黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,EXH,2,17,1
カタルシスの月,日向美ビタースイーツ♪,NOV,0,4,9
カタルシスの月,日向美ビタースイーツ♪,ADV,1,11,3
カタルシスの月,日向美ビタースイーツ♪,EXH,2,16,35
GO BACK 2 YOUR RAVE,nora2r,NOV,0,5,9
GO BACK 2 YOUR RAVE,nora2r,ADV,1,10,6
GO BACK 2 YOUR RAVE,nora2r,EXH,2,16,14
爆なな☆てすとロイヤー,ARM feat.ななひら,NOV,0,5,9
爆なな☆てすとロイヤー,ARM feat.ななひら,ADV,1,11,8
爆なな☆てすとロイヤー,ARM feat.ななひら,EXH,2,16,24
Dualive(EXIT TUNES),Quarks(kradness×Camellia),NOV,0,5,8
Dualive(EXIT TUNES),Quarks(kradness×Camellia),ADV,1,11,3
Dualive(EXIT TUNES),Quarks(kradness×Camellia),EXH,2,17,5
Din Don Dan (Fusion Remix),TAKU1175 feat.かなたん,NOV,0,5,7
Din Don Dan (Fusion Remix),TAKU1175 feat.かなたん,ADV,1,11,3
Din Don Dan (Fusion Remix),TAKU1175 feat.かなたん,EXH,2,16,26
The star in eclipse,しーけー,NOV,0,6,8
The star in eclipse,しーけー,ADV,1,12,11
The star in eclipse,しーけー,EXH,2,17,40
アキネイション,ビートまりお（COOL&CREATE）,NOV,0,6,13
アキネイション,ビートまりお（COOL&CREATE）,ADV,1,12,7
アキネイション,ビートまりお（COOL&CREATE）,EXH,2,17,7
Prominence,矢鴇つかさ feat. 佳織みちる,NOV,0,3,10
Prominence,矢鴇つかさ feat. 佳織みちる,ADV,1,9,6
Prominence,矢鴇つかさ feat. 佳織みちる,EXH,2,13,33
弾幕注意報2014,東京アクティブNEETs,NOV,0,4,9
弾幕注意報2014,東京アクティブNEETs,ADV,1,10,7
弾幕注意報2014,東京アクティブNEETs,EXH,2,15,14
断罪は遍く人間の元に,Unlucky Morpheus,NOV,0,5,8
断罪は遍く人間の元に,Unlucky Morpheus,ADV,1,10,4
断罪は遍く人間の元に,Unlucky Morpheus,EXH,2,17,10
墨染 ft. ネコメアリ,Iceon(Frost Fragment),NOV,0,3,11
墨染 ft. ネコメアリ,Iceon(Frost Fragment),ADV,1,9,6
墨染 ft. ネコメアリ,Iceon(Frost Fragment),EXH,2,13,9
幻想郷DEMPASTICグリーティング,ARM(IOSYS) feat. 愛原千尋,NOV,0,5,8
幻想郷DEMPASTICグリーティング,ARM(IOSYS) feat. 愛原千尋,ADV,1,11,6
幻想郷DEMPASTICグリーティング,ARM(IOSYS) feat. 愛原千尋,EXH,2,16,7
恋繋エピローグ,Amateras Records feat.KUMI(ヲタみん),NOV,0,5,8
恋繋エピローグ,Amateras Records feat.KUMI(ヲタみん),ADV,1,10,42
恋繋エピローグ,Amateras Records feat.KUMI(ヲタみん),EXH,2,15,13
relegation grimoire,tsuzu,NOV,0,4,5
relegation grimoire,tsuzu,ADV,1,9,7
relegation grimoire,tsuzu,EXH,2,14,12
ブチアゲドクター☆ハイテッコ三姉妹,溝口ゆうま feat. みこ♡なち♡あい,NOV,0,5,5
ブチアゲドクター☆ハイテッコ三姉妹,溝口ゆうま feat. みこ♡なち♡あい,ADV,1,11,3
ブチアゲドクター☆ハイテッコ三姉妹,溝口ゆうま feat. みこ♡なち♡あい,EXH,2,15,21
Destroy,Yooh,NOV,0,6,8
Destroy,Yooh,ADV,1,12,5
Destroy,Yooh,EXH,2,16,28
Destroy,Yooh,GRV,5,17,6
CENSORED!!,t+pazolite,NOV,0,6,15
CENSORED!!,t+pazolite,ADV,1,12,8
CENSORED!!,t+pazolite,EXH,2,17,20
侍Annihilate!!,QURELESS,NOV,0,6,11
侍Annihilate!!,QURELESS,ADV,1,13,21
侍Annihilate!!,QURELESS,EXH,2,18,5
GRISAILLE,SOUND HOLIC feat. Nana Takahashi,NOV,0,5,6
GRISAILLE,SOUND HOLIC feat. Nana Takahashi,ADV,1,10,21
GRISAILLE,SOUND HOLIC feat. Nana Takahashi,EXH,2,16,41
crescent moon,FELT,NOV,0,4,10
crescent moon,FELT,ADV,1,9,6
crescent moon,FELT,EXH,2,13,48
Endless GRAVITY,kanone,NOV,0,6,8
Endless GRAVITY,kanone,ADV,1,12,5
Endless GRAVITY,kanone,EXH,2,18,5
Apex of the World,uma&hurirai feat.ましろ,NOV,0,5,14
Apex of the World,uma&hurirai feat.ましろ,ADV,1,11,5
Apex of the World,uma&hurirai feat.ましろ,EXH,2,17,21
双星ルミネセンス,一舞 ＆ 夏陽,NOV,0,4,11
双星ルミネセンス,一舞 ＆ 夏陽,ADV,1,10,9
双星ルミネセンス,一舞 ＆ 夏陽,EXH,2,16,100
Mind Mapping (hard liquid remix),borzy,NOV,0,5,9
Mind Mapping (hard liquid remix),borzy,ADV,1,10,8
Mind Mapping (hard liquid remix),borzy,EXH,2,15,13
"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,NOV,0,6,55
"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,ADV,1,12,6
"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,EXH,2,17,1
雪月花 -さわわRemix-,さわわ,NOV,0,6,8
雪月花 -さわわRemix-,さわわ,ADV,1,12,6
雪月花 -さわわRemix-,さわわ,EXH,2,17,11
Sweet little Lily,奏瀬いちこ (Silver Forest),NOV,0,3,12
Sweet little Lily,奏瀬いちこ (Silver Forest),ADV,1,8,8
Sweet little Lily,奏瀬いちこ (Silver Forest),EXH,2,13,29
Critical Crystal(brz_remix),brz,NOV,0,3,11
Critical Crystal(brz_remix),brz,ADV,1,10,7
Critical Crystal(brz_remix),brz,EXH,2,13,15
UROBØROS,溝口ゆうま feat. 大瀬良あい,NOV,0,5,9
UROBØROS,溝口ゆうま feat. 大瀬良あい,ADV,1,11,11
UROBØROS,溝口ゆうま feat. 大瀬良あい,EXH,2,17,13
碧の疾風,君の美術館,NOV,0,4,12
碧の疾風,君の美術館,ADV,1,9,6
碧の疾風,君の美術館,EXH,2,13,24
I'm so happy(Happy Hoppin Remix),polysha,NOV,0,4,9
I'm so happy(Happy Hoppin Remix),polysha,ADV,1,8,6
I'm so happy(Happy Hoppin Remix),polysha,EXH,2,13,11
仙酌絶唱のファンタジア,博麗神社例大祭コラボユニット,NOV,0,5,8
仙酌絶唱のファンタジア,博麗神社例大祭コラボユニット,ADV,1,10,4
仙酌絶唱のファンタジア,博麗神社例大祭コラボユニット,EXH,2,15,7
"Help me, ERINNNNNN!! -VENUS mix-",VENUS,NOV,0,5,6
"Help me, ERINNNNNN!! -VENUS mix-",VENUS,ADV,1,12,6
"Help me, ERINNNNNN!! -VENUS mix-",VENUS,EXH,2,16,18
ハイスピヰド・ランパンシヰ,はがね,NOV,0,5,8
ハイスピヰド・ランパンシヰ,はがね,ADV,1,11,6
ハイスピヰド・ランパンシヰ,はがね,EXH,2,16,8
NECRO PARTY,VALLEYSTONE vs udouddo,NOV,0,5,9
NECRO PARTY,VALLEYSTONE vs udouddo,ADV,1,11,3
NECRO PARTY,VALLEYSTONE vs udouddo,EXH,2,16,18
鳥と桜と嘴と,マッカチン企画,NOV,0,3,11
鳥と桜と嘴と,マッカチン企画,ADV,1,8,7
鳥と桜と嘴と,マッカチン企画,EXH,2,13,18
Smooth Wind,とろまる,NOV,0,5,5
Smooth Wind,とろまる,ADV,1,11,3
Smooth Wind,とろまる,EXH,2,15,9
Ultimate Ascension,かめりあ,NOV,0,6,16
Ultimate Ascension,かめりあ,ADV,1,12,10
Ultimate Ascension,かめりあ,EXH,2,18,10
Mermaid girl (Tropical Remix),Hyuji feat. LIQU@。,NOV,0,4,11
Mermaid girl (Tropical Remix),Hyuji feat. LIQU@。,ADV,1,10,6
Mermaid girl (Tropical Remix),Hyuji feat. LIQU@。,EXH,2,15,19
花ノ下連歌,Jan★Key,NOV,0,4,8
花ノ下連歌,Jan★Key,ADV,1,11,2
花ノ下連歌,Jan★Key,EXH,2,16,16
Deadly Dolly Dance,Shiron,NOV,0,6,9
Deadly Dolly Dance,Shiron,ADV,1,12,5
Deadly Dolly Dance,Shiron,EXH,2,17,6
Time to Air -Fly High Remix-,xi,NOV,0,6,10
Time to Air -Fly High Remix-,xi,ADV,1,12,12
Time to Air -Fly High Remix-,xi,EXH,2,17,7
Get back here,Hommarju,NOV,0,6,13
Get back here,Hommarju,ADV,1,11,9
Get back here,Hommarju,EXH,2,16,55
Get back here,Hommarju,GRV,5,17,4
踊るフィーバーロボ,ダニエル&eimy と よしくん,NOV,0,6,5
踊るフィーバーロボ,ダニエル&eimy と よしくん,ADV,1,11,3
踊るフィーバーロボ,ダニエル&eimy と よしくん,EXH,2,16,7
ancient garden,Cororo,NOV,0,4,7
ancient garden,Cororo,ADV,1,9,7
ancient garden,Cororo,EXH,2,16,30
Discover the Life,A-One,NOV,0,4,9
Discover the Life,A-One,ADV,1,11,3
Discover the Life,A-One,EXH,2,16,23
Solitude & Nightmare,猫大樹,NOV,0,4,9
Solitude & Nightmare,猫大樹,ADV,1,10,3
Solitude & Nightmare,猫大樹,EXH,2,16,19
善悪の頂にある真実,幽閉サテライト feat. senya,NOV,0,2,21
善悪の頂にある真実,幽閉サテライト feat. senya,ADV,1,8,9
善悪の頂にある真実,幽閉サテライト feat. senya,EXH,2,13,7
ゲキツイムラサ,ビートまりお（COOL&CREATE）,NOV,0,5,10
ゲキツイムラサ,ビートまりお（COOL&CREATE）,ADV,1,11,6
ゲキツイムラサ,ビートまりお（COOL&CREATE）,EXH,2,17,11
或る春の日,豚乙女,NOV,0,3,13
或る春の日,豚乙女,ADV,1,9,7
或る春の日,豚乙女,EXH,2,14,56
Lo-Fi-M,yaseta,NOV,0,5,6
Lo-Fi-M,yaseta,ADV,1,12,2
Lo-Fi-M,yaseta,EXH,2,16,77
Locus of Control,EastNewSound feat. 3L from NJK Record,NOV,0,3,11
Locus of Control,EastNewSound feat. 3L from NJK Record,ADV,1,9,6
Locus of Control,EastNewSound feat. 3L from NJK Record,EXH,2,13,22
Laughin' Muffin,Gowrock,NOV,0,5,7
Laughin' Muffin,Gowrock,ADV,1,11,5
Laughin' Muffin,Gowrock,EXH,2,16,74
MERRiESTxHOLiC,miko♡nachi feat.u-z,NOV,0,3,8
MERRiESTxHOLiC,miko♡nachi feat.u-z,ADV,1,9,9
MERRiESTxHOLiC,miko♡nachi feat.u-z,EXH,2,13,17
Paradission,BlackY,NOV,0,5,8
Paradission,BlackY,ADV,1,12,2
Paradission,BlackY,EXH,2,17,28
Never Let It End,FELT,NOV,0,3,9
Never Let It End,FELT,ADV,1,9,7
Never Let It End,FELT,EXH,2,13,46
Death Blossom,REDALiCE feat. Ayumi Nomiya,NOV,0,5,8
Death Blossom,REDALiCE feat. Ayumi Nomiya,ADV,1,10,5
Death Blossom,REDALiCE feat. Ayumi Nomiya,EXH,2,15,13
Ok!! Hug Me,はるなば,NOV,0,6,7
Ok!! Hug Me,はるなば,ADV,1,12,4
Ok!! Hug Me,はるなば,EXH,2,16,29
Ok!! Hug Me,はるなば,GRV,5,18,11
Everything but the Girl,発熱巫女～ず,NOV,0,3,10
Everything but the Girl,発熱巫女～ず,ADV,1,8,5
Everything but the Girl,発熱巫女～ず,EXH,2,13,27
ウエンレラの氷華,Cororo,NOV,0,5,8
ウエンレラの氷華,Cororo,ADV,1,12,6
ウエンレラの氷華,Cororo,EXH,2,16,9
ウエンレラの氷華,Cororo,GRV,5,17,3
akasha-assembly,溝口ゆうま from セブンスヘブンAmmy's,NOV,0,5,13
akasha-assembly,溝口ゆうま from セブンスヘブンAmmy's,ADV,1,12,7
akasha-assembly,溝口ゆうま from セブンスヘブンAmmy's,EXH,2,17,13
B.B.K.K.B.K.K.,nora2r,NOV,0,5,9
B.B.K.K.B.K.K.,nora2r,ADV,1,11,2
B.B.K.K.B.K.K.,nora2r,EXH,2,17,18
Celestial stinger,Noah,NOV,0,6,11
Celestial stinger,Noah,ADV,1,12,8
Celestial stinger,Noah,EXH,2,16,12
Celestial stinger,Noah,GRV,5,18,2
The End of War,たちのん as Project Mayhem,NOV,0,5,7
The End of War,たちのん as Project Mayhem,ADV,1,12,3
The End of War,たちのん as Project Mayhem,EXH,2,17,2
Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",NOV,0,5,5
Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",ADV,1,12,7
Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",EXH,2,16,5
Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",GRV,5,18,4
Voynich:Manuscript,かゆき,NOV,0,5,4
Voynich:Manuscript,かゆき,ADV,1,11,2
Voynich:Manuscript,かゆき,EXH,2,17,1
eastward -sdvx edit-,ginkiha,NOV,0,4,10
eastward -sdvx edit-,ginkiha,ADV,1,10,7
eastward -sdvx edit-,ginkiha,EXH,2,16,28
Lord=Crossight,ぺのれり,NOV,0,7,10
Lord=Crossight,ぺのれり,ADV,1,12,6
Lord=Crossight,ぺのれり,EXH,2,17,7
Lord=Crossight,ぺのれり,GRV,5,19,0
NEO TREASON,lapix,NOV,0,5,5
NEO TREASON,lapix,ADV,1,12,4
NEO TREASON,lapix,EXH,2,16,4
NEO TREASON,lapix,GRV,5,18,6
Triple Counter,DJ YOSHITAKA meets dj TAKA,NOV,0,7,9
Triple Counter,DJ YOSHITAKA meets dj TAKA,ADV,1,12,4
Triple Counter,DJ YOSHITAKA meets dj TAKA,EXH,2,17,35
Triple Counter,DJ YOSHITAKA meets dj TAKA,GRV,5,18,3
DIABLOSIS::Nāga,sky_delta,NOV,0,7,11
DIABLOSIS::Nāga,sky_delta,ADV,1,13,8
DIABLOSIS::Nāga,sky_delta,EXH,2,17,4
DIABLOSIS::Nāga,sky_delta,GRV,5,19,2
ZEPHYRANTHES,TAG,NOV,0,6,8
ZEPHYRANTHES,TAG,ADV,1,10,9
ZEPHYRANTHES,TAG,EXH,2,13,31
ZEPHYRANTHES,TAG,GRV,5,17,29
Sephirot,SHIKI,NOV,0,3,6
Sephirot,SHIKI,ADV,1,9,6
Sephirot,SHIKI,EXH,2,13,17
Sephirot,SHIKI,GRV,5,17,16
StrayedCatz,削除,NOV,0,3,8
StrayedCatz,削除,ADV,1,8,6
StrayedCatz,削除,EXH,2,15,5
StrayedCatz,削除,GRV,5,17,1
Grand Chariot,xi,NOV,0,5,11
Grand Chariot,xi,ADV,1,11,6
Grand Chariot,xi,EXH,2,16,26
Grand Chariot,xi,GRV,5,17,10
Angelic Jelly,t+pazolite,NOV,0,6,12
Angelic Jelly,t+pazolite,ADV,1,12,5
Angelic Jelly,t+pazolite,EXH,2,16,30
Angelic Jelly,t+pazolite,GRV,5,18,6
イブの時代っ！,日向美ビタースイーツ♪,NOV,0,3,12
イブの時代っ！,日向美ビタースイーツ♪,ADV,1,8,8
イブの時代っ！,日向美ビタースイーツ♪,EXH,2,14,29
FLügeL《Λrp:ΣggyØ》,かねこちはる,NOV,0,7,10
FLügeL《Λrp:ΣggyØ》,かねこちはる,ADV,1,13,6
FLügeL《Λrp:ΣggyØ》,かねこちはる,EXH,2,18,3
FLügeL《Λrp:ΣggyØ》,かねこちはる,GRV,5,19,2
Halcyon,xi,NOV,0,6,9
Halcyon,xi,ADV,1,11,3
Halcyon,xi,EXH,2,17,1
０=Xerostrumental=(EXIT TUNES),cosMo＠暴走P,NOV,0,4,9
０=Xerostrumental=(EXIT TUNES),cosMo＠暴走P,ADV,1,10,4
０=Xerostrumental=(EXIT TUNES),cosMo＠暴走P,EXH,2,17,3
ANTI THE∞HOLiC(EXIT TUNES),GAiA×cosMo＠暴走P,NOV,0,5,10
ANTI THE∞HOLiC(EXIT TUNES),GAiA×cosMo＠暴走P,ADV,1,9,5
ANTI THE∞HOLiC(EXIT TUNES),GAiA×cosMo＠暴走P,EXH,2,17,18
You Know-SDVX EDIT-,源屋 with Kuroa*,NOV,0,4,10
You Know-SDVX EDIT-,源屋 with Kuroa*,ADV,1,9,5
You Know-SDVX EDIT-,源屋 with Kuroa*,EXH,2,16,25
MAGATORO,上村香月,NOV,0,4,11
MAGATORO,上村香月,ADV,1,10,8
MAGATORO,上村香月,EXH,2,16,14
Fabula Nova,unatra,NOV,0,3,6
Fabula Nova,unatra,ADV,1,9,5
Fabula Nova,unatra,EXH,2,15,15
そして紫の幻想曲は全てを受け入れる,黄泉路テヂーモ×dawn-system,NOV,0,5,6
そして紫の幻想曲は全てを受け入れる,黄泉路テヂーモ×dawn-system,ADV,1,11,5
そして紫の幻想曲は全てを受け入れる,黄泉路テヂーモ×dawn-system,EXH,2,17,6
Shirogane,nmk vs b-UMB feat.青砥 雫 a.k.a. ℃iel,NOV,0,3,11
Shirogane,nmk vs b-UMB feat.青砥 雫 a.k.a. ℃iel,ADV,1,8,6
Shirogane,nmk vs b-UMB feat.青砥 雫 a.k.a. ℃iel,EXH,2,14,10
バイナリスター,ここなつ,NOV,0,3,10
バイナリスター,ここなつ,ADV,1,8,13
バイナリスター,ここなつ,EXH,2,13,26
バイナリスター,ここなつ,VVD,7,17,64
Prayer,ぺのれり,NOV,0,6,15
Prayer,ぺのれり,ADV,1,12,8
Prayer,ぺのれり,EXH,2,18,10
ネコクマウササー,溝口ゆうま feat. みこ♡なち♡あい,NOV,0,5,6
ネコクマウササー,溝口ゆうま feat. みこ♡なち♡あい,ADV,1,11,4
ネコクマウササー,溝口ゆうま feat. みこ♡なち♡あい,EXH,2,15,100
↓↓↓,庭師,NOV,0,6,15
↓↓↓,庭師,ADV,1,12,4
↓↓↓,庭師,EXH,2,18,5
絶対零度,かねこちはる,NOV,0,6,14
絶対零度,かねこちはる,ADV,1,12,5
絶対零度,かねこちはる,EXH,2,18,5
GEOMETRIA,Shiron,NOV,0,6,7
GEOMETRIA,Shiron,ADV,1,12,4
GEOMETRIA,Shiron,EXH,2,18,8
cross the future,uma,NOV,0,5,12
cross the future,uma,ADV,1,12,8
cross the future,uma,EXH,2,17,38
Emperor's Divide,にゃそ,NOV,0,6,8
Emperor's Divide,にゃそ,ADV,1,12,11
Emperor's Divide,にゃそ,EXH,2,17,8
IKAROS DYNAMITE!!!!,BlackY,NOV,0,6,10
IKAROS DYNAMITE!!!!,BlackY,ADV,1,12,11
IKAROS DYNAMITE!!!!,BlackY,EXH,2,18,5
lost chain,まぁ言うてかぼちゃの色も橙だし多分大丈夫,NOV,0,4,9
lost chain,まぁ言うてかぼちゃの色も橙だし多分大丈夫,ADV,1,9,23
lost chain,まぁ言うてかぼちゃの色も橙だし多分大丈夫,EXH,2,13,6
Phantom dinning tonight!,Tomoya feat. 黒崎朔夜,NOV,0,4,7
Phantom dinning tonight!,Tomoya feat. 黒崎朔夜,ADV,1,10,5
Phantom dinning tonight!,Tomoya feat. 黒崎朔夜,EXH,2,16,20
東方妖々夢 ULTIMATE MEDLEY,uma vs. モリモリあつし,NOV,0,6,9
東方妖々夢 ULTIMATE MEDLEY,uma vs. モリモリあつし,ADV,1,12,4
東方妖々夢 ULTIMATE MEDLEY,uma vs. モリモリあつし,EXH,2,18,7
Spice Road,C-CLAYS feat.小峠舞,NOV,0,3,9
Spice Road,C-CLAYS feat.小峠舞,ADV,1,8,8
Spice Road,C-CLAYS feat.小峠舞,EXH,2,13,14
ジャンピン・スマイル,梅干茶漬け,NOV,0,5,6
ジャンピン・スマイル,梅干茶漬け,ADV,1,10,5
ジャンピン・スマイル,梅干茶漬け,EXH,2,15,22
Clash of swords,Noah,NOV,0,6,9
Clash of swords,Noah,ADV,1,12,2
Clash of swords,Noah,EXH,2,17,7
Issen,tanso a.k.a. モリヤマサト,NOV,0,4,25
Issen,tanso a.k.a. モリヤマサト,ADV,1,9,17
Issen,tanso a.k.a. モリヤマサト,EXH,2,15,100
アルティメットトゥルース -Phantasm-,ふりらい feat. あにょ,NOV,0,5,6
アルティメットトゥルース -Phantasm-,ふりらい feat. あにょ,ADV,1,10,6
アルティメットトゥルース -Phantasm-,ふりらい feat. あにょ,EXH,2,18,5
極圏,cosMo VS dj TAKA,NOV,0,6,9
極圏,cosMo VS dj TAKA,ADV,1,12,7
極圏,cosMo VS dj TAKA,EXH,2,18,0
極圏,cosMo VS dj TAKA,HVN,6,19,1
JOMANDA,DJ YOSHITAKA,NOV,0,6,9
JOMANDA,DJ YOSHITAKA,ADV,1,12,2
JOMANDA,DJ YOSHITAKA,EXH,2,17,5
Lonly Ranunculus,Amateras Records feat.築山さえ,NOV,0,4,6
Lonly Ranunculus,Amateras Records feat.築山さえ,ADV,1,9,6
Lonly Ranunculus,Amateras Records feat.築山さえ,EXH,2,15,15
シアワセうさぎ,あまね＋ビートまりお（COOL&CREATE）,NOV,0,2,18
シアワセうさぎ,あまね＋ビートまりお（COOL&CREATE）,ADV,1,8,8
シアワセうさぎ,あまね＋ビートまりお（COOL&CREATE）,EXH,2,13,20
REGALIA,Riz,NOV,0,6,7
REGALIA,Riz,ADV,1,12,5
REGALIA,Riz,EXH,2,17,3
ゆうしゃのふゆやすみ,Verdammt,NOV,0,4,7
ゆうしゃのふゆやすみ,Verdammt,ADV,1,10,5
ゆうしゃのふゆやすみ,Verdammt,EXH,2,15,9
Metamorphobia,winddrums,NOV,0,6,6
Metamorphobia,winddrums,ADV,1,12,1
Metamorphobia,winddrums,EXH,2,17,10
ヒミツダイヤル,ここなつ,NOV,0,3,14
ヒミツダイヤル,ここなつ,ADV,1,7,66
ヒミツダイヤル,ここなつ,EXH,2,15,74
ヒミツダイヤル,ここなつ,VVD,7,17,100
Zero-Day Exploit,Trerey-U,NOV,0,6,9
Zero-Day Exploit,Trerey-U,ADV,1,11,7
Zero-Day Exploit,Trerey-U,EXH,2,17,7
Quaint Echo,KLing(Aoi+Yunosuke),NOV,0,6,10
Quaint Echo,KLing(Aoi+Yunosuke),ADV,1,12,5
Quaint Echo,KLing(Aoi+Yunosuke),EXH,2,18,1
#Endroll,uno & D.watt (IOSYS TRAX),NOV,0,5,18
#Endroll,uno & D.watt (IOSYS TRAX),ADV,1,11,49
#Endroll,uno & D.watt (IOSYS TRAX),EXH,2,18,11
いつかの夢、またねの約束。,TAKU1175 ft. 駄々子,NOV,0,4,12
いつかの夢、またねの約束。,TAKU1175 ft. 駄々子,ADV,1,10,6
いつかの夢、またねの約束。,TAKU1175 ft. 駄々子,EXH,2,14,57
{albus},かめりあ,NOV,0,6,5
{albus},かめりあ,ADV,1,11,4
{albus},かめりあ,EXH,2,17,2
Solar Storm,xi「グルーヴコースター 3 リンクフィーバー」より,NOV,0,6,8
Solar Storm,xi「グルーヴコースター 3 リンクフィーバー」より,ADV,1,12,5
Solar Storm,xi「グルーヴコースター 3 リンクフィーバー」より,EXH,2,18,1
LOVE EAST,暁Records,NOV,0,3,9
LOVE EAST,暁Records,ADV,1,8,7
LOVE EAST,暁Records,EXH,2,12,25
LOVE EAST,暁Records,MXM,3,15,56
焔 -MAGMA-,SOUND HOLIC feat. Nana Takahashi,NOV,0,6,8
焔 -MAGMA-,SOUND HOLIC feat. Nana Takahashi,ADV,1,10,6
焔 -MAGMA-,SOUND HOLIC feat. Nana Takahashi,EXH,2,14,22
焔 -MAGMA-,SOUND HOLIC feat. Nana Takahashi,MXM,3,17,12
Poppin' Shower,P*Light,NOV,0,4,11
Poppin' Shower,P*Light,ADV,1,8,12
Poppin' Shower,P*Light,EXH,2,12,32
Poppin' Shower,P*Light,MXM,3,16,34
bass 2 bass [Tracy vs. Astronomical Remix],Tracy vs. Astronomical,NOV,0,4,6
bass 2 bass [Tracy vs. Astronomical Remix],Tracy vs. Astronomical,ADV,1,9,8
bass 2 bass [Tracy vs. Astronomical Remix],Tracy vs. Astronomical,EXH,2,13,10
bass 2 bass [Tracy vs. Astronomical Remix],Tracy vs. Astronomical,MXM,3,16,32
HEAVENLY SMILE,VALLEYSTONE feat. 紫崎 雪,NOV,0,5,5
HEAVENLY SMILE,VALLEYSTONE feat. 紫崎 雪,ADV,1,9,7
HEAVENLY SMILE,VALLEYSTONE feat. 紫崎 雪,EXH,2,13,24
HEAVENLY SMILE,VALLEYSTONE feat. 紫崎 雪,MXM,3,17,29
Heavenly Adventure,Soleily,NOV,0,5,5
Heavenly Adventure,Soleily,ADV,1,9,6
Heavenly Adventure,Soleily,EXH,2,14,10
Heavenly Adventure,Soleily,MXM,3,17,6
Four Leaves,Endorfin.,NOV,0,5,5
Four Leaves,Endorfin.,ADV,1,10,8
Four Leaves,Endorfin.,EXH,2,13,24
Four Leaves,Endorfin.,MXM,3,17,40
HiGHER,REDALiCE,NOV,0,5,9
HiGHER,REDALiCE,ADV,1,9,7
HiGHER,REDALiCE,EXH,2,12,14
HiGHER,REDALiCE,MXM,3,16,24
Nostalgia,矢鴇つかさ feat. 三澤秋,NOV,0,3,8
Nostalgia,矢鴇つかさ feat. 三澤秋,ADV,1,8,7
Nostalgia,矢鴇つかさ feat. 三澤秋,EXH,2,13,15
Nostalgia,矢鴇つかさ feat. 三澤秋,MXM,3,15,14
New Game feat.Mayumi Morinaga,The 4th,NOV,0,5,6
New Game feat.Mayumi Morinaga,The 4th,ADV,1,8,10
New Game feat.Mayumi Morinaga,The 4th,EXH,2,11,30
New Game feat.Mayumi Morinaga,The 4th,MXM,3,15,8
Dreadnought,Mastermind(xi+nora2r),NOV,0,6,4
Dreadnought,Mastermind(xi+nora2r),ADV,1,12,5
Dreadnought,Mastermind(xi+nora2r),EXH,2,16,8
Dreadnought,Mastermind(xi+nora2r),MXM,3,18,2
TRICKL4SH 220,Lite Show Magic,NOV,0,6,8
TRICKL4SH 220,Lite Show Magic,ADV,1,11,11
TRICKL4SH 220,Lite Show Magic,EXH,2,16,12
TRICKL4SH 220,Lite Show Magic,MXM,3,18,9
トラウマ催眠少女さとり！,DJ SHARPNEL feat. 一ノ瀬月琉,NOV,0,6,3
トラウマ催眠少女さとり！,DJ SHARPNEL feat. 一ノ瀬月琉,ADV,1,11,4
トラウマ催眠少女さとり！,DJ SHARPNEL feat. 一ノ瀬月琉,EXH,2,14,15
トラウマ催眠少女さとり！,DJ SHARPNEL feat. 一ノ瀬月琉,MXM,3,16,18
Take to Lips,Sound CYCLONE feat.大瀬良あい&℃iel,NOV,0,2,17
Take to Lips,Sound CYCLONE feat.大瀬良あい&℃iel,ADV,1,7,9
Take to Lips,Sound CYCLONE feat.大瀬良あい&℃iel,EXH,2,12,17
Take to Lips,Sound CYCLONE feat.大瀬良あい&℃iel,MXM,3,15,12
Chocolate Planet,Freezer feat.妃苺,NOV,0,6,16
Chocolate Planet,Freezer feat.妃苺,ADV,1,11,7
Chocolate Planet,Freezer feat.妃苺,EXH,2,15,24
Chocolate Planet,Freezer feat.妃苺,MXM,3,17,23
Dharma,Massive New Krew,NOV,0,5,5
Dharma,Massive New Krew,ADV,1,12,10
Dharma,Massive New Krew,EXH,2,15,24
Dharma,Massive New Krew,MXM,3,17,22
零の位相,kradness,NOV,0,5,4
零の位相,kradness,ADV,1,11,5
零の位相,kradness,EXH,2,14,13
零の位相,kradness,MXM,3,17,28
千本桜,黒うさP feat.初音ミク,NOV,0,2,25
千本桜,黒うさP feat.初音ミク,ADV,1,7,13
千本桜,黒うさP feat.初音ミク,EXH,2,10,29
千本桜,黒うさP feat.初音ミク,MXM,3,15,35
Second Heaven GravityPfArrange,cosMo＠暴走P,NOV,0,5,4
Second Heaven GravityPfArrange,cosMo＠暴走P,ADV,1,10,4
