musicname,artistname,diff,difficult,level,puc_count
キミノメヲ(EXIT TUNES),そらる,NOV,0,3,8
キミノメヲ(EXIT TUNES),そらる,ADV,1,9,8
キミノメヲ(EXIT TUNES),そらる,EXH,2,12,17
カーニバル(EXIT TUNES),otetsu feat.灯油,NOV,0,4,6
カーニバル(EXIT TUNES),otetsu feat.灯油,ADV,1,10,11
カーニバル(EXIT TUNES),otetsu feat.灯油,EXH,2,14,9
おにゃのこ　きねんび(EXIT TUNES),赤飯,NOV,0,5,8
おにゃのこ　きねんび(EXIT TUNES),赤飯,ADV,1,9,7
おにゃのこ　きねんび(EXIT TUNES),赤飯,EXH,2,13,36
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,D.watt(IOSYS),NOV,0,5,6
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,D.watt(IOSYS),ADV,1,10,11
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,D.watt(IOSYS),EXH,2,15,19
恋する☆宇宙戦争っ！！ あばばばみっくす,ARM (IOSYS),NOV,0,6,6
恋する☆宇宙戦争っ！！ あばばばみっくす,ARM (IOSYS),ADV,1,12,17
恋する☆宇宙戦争っ！！ あばばばみっくす,ARM (IOSYS),EXH,2,15,17
恋する☆宇宙戦争っ！！ あばばばみっくす,ARM (IOSYS),INF,4,15,32
レトロスペクティビリー・メリーゴーランド,はるなば,NOV,0,2,17
レトロスペクティビリー・メリーゴーランド,はるなば,ADV,1,7,9
レトロスペクティビリー・メリーゴーランド,はるなば,EXH,2,12,51
香港功夫大旋風,Daisuke Ohnuma,NOV,0,6,24
香港功夫大旋風,Daisuke Ohnuma,ADV,1,11,6
香港功夫大旋風,Daisuke Ohnuma,EXH,2,16,4
香港功夫大旋風,Daisuke Ohnuma,GRV,5,17,3
Nyan Cat(EXIT TUNES),daniwellP feat. 桃音モモ,NOV,0,2,20
Nyan Cat(EXIT TUNES),daniwellP feat. 桃音モモ,ADV,1,8,11
Nyan Cat(EXIT TUNES),daniwellP feat. 桃音モモ,EXH,2,13,21
Nyan Cat(EXIT TUNES),daniwellP feat. 桃音モモ,INF,4,16,20
.59 -BOOTH BOOST REMIX-,IDEA+RHYTHM,NOV,0,4,5
.59 -BOOTH BOOST REMIX-,IDEA+RHYTHM,ADV,1,8,5
.59 -BOOTH BOOST REMIX-,IDEA+RHYTHM,EXH,2,13,41
.59 -BOOTH BOOST REMIX-,IDEA+RHYTHM,HVN,6,17,18
SOUL EXPLOSION,kanone,NOV,0,4,9
SOUL EXPLOSION,kanone,ADV,1,9,9
SOUL EXPLOSION,kanone,EXH,2,13,15
Space Diver Tama,黒魔,NOV,0,3,9
Space Diver Tama,黒魔,ADV,1,8,8
Space Diver Tama,黒魔,EXH,2,15,12
Space Diver Tama,黒魔,HVN,6,17,16
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,かめりあ,NOV,0,3,11
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,かめりあ,ADV,1,7,12
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,かめりあ,EXH,2,12,59
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,かめりあ,HVN,6,17,9
君にエールを・・・！ （DJ UTO REMIX）(EXIT TUNES),Mayumi Morinaga,NOV,0,5,3
君にエールを・・・！ （DJ UTO REMIX）(EXIT TUNES),Mayumi Morinaga,ADV,1,10,7
君にエールを・・・！ （DJ UTO REMIX）(EXIT TUNES),Mayumi Morinaga,EXH,2,14,52
caramel ribbon,P*Light,NOV,0,4,8
caramel ribbon,P*Light,ADV,1,9,9
caramel ribbon,P*Light,EXH,2,13,88
caramel ribbon,P*Light,INF,4,16,37
Onigo,Hommarju,NOV,0,6,4
Onigo,Hommarju,ADV,1,11,6
Onigo,Hommarju,EXH,2,16,64
Onigo,Hommarju,HVN,6,18,3
Ignited Night burst,N-driver,NOV,0,5,5
Ignited Night burst,N-driver,ADV,1,10,9
Ignited Night burst,N-driver,EXH,2,14,15
天ノ弱(EXIT TUNES),164 feat. GUMI,NOV,0,3,10
天ノ弱(EXIT TUNES),164 feat. GUMI,ADV,1,9,14
天ノ弱(EXIT TUNES),164 feat. GUMI,EXH,2,13,48
天ノ弱(EXIT TUNES),164 feat. GUMI,INF,4,17,14
World Vertex,void,NOV,0,4,7
World Vertex,void,ADV,1,12,7
World Vertex,void,EXH,2,14,16
World Vertex,void,GRV,5,16,7
freaky freak,kamome sano,NOV,0,4,6
freaky freak,kamome sano,ADV,1,12,7
freaky freak,kamome sano,EXH,2,15,13
freaky freak,kamome sano,GRV,5,17,4
Fire Strike,Junk,NOV,0,3,13
Fire Strike,Junk,ADV,1,9,8
Fire Strike,Junk,EXH,2,13,24
Fire Strike,Junk,HVN,6,17,15
Distorted Floor,RoughSketch,NOV,0,6,5
Distorted Floor,RoughSketch,ADV,1,11,4
Distorted Floor,RoughSketch,EXH,2,15,22
Distorted Floor,RoughSketch,INF,4,17,4
SEED (DJ Noriken Remix),DJ Noriken,NOV,0,7,9
SEED (DJ Noriken Remix),DJ Noriken,ADV,1,12,9
SEED (DJ Noriken Remix),DJ Noriken,EXH,2,14,37
Clione Hommarju Remix,Hommarju,NOV,0,3,9
Clione Hommarju Remix,Hommarju,ADV,1,8,8
Clione Hommarju Remix,Hommarju,EXH,2,12,26
GAMBOL (dfk SLC rmx),D.F.K.Soundsystem,NOV,0,3,8
GAMBOL (dfk SLC rmx),D.F.K.Soundsystem,ADV,1,10,7
GAMBOL (dfk SLC rmx),D.F.K.Soundsystem,EXH,2,13,9
GAMBOL (dfk SLC rmx),D.F.K.Soundsystem,INF,4,16,100
Ganymede kamome mix,kamome sano,NOV,0,6,3
Ganymede kamome mix,kamome sano,ADV,1,11,7
Ganymede kamome mix,kamome sano,EXH,2,17,3
Ganymede kamome mix,kamome sano,INF,4,19,4
炉心融解(EXIT TUNES),iroha,NOV,0,2,18
炉心融解(EXIT TUNES),iroha,ADV,1,7,14
炉心融解(EXIT TUNES),iroha,EXH,2,11,85
炉心融解(EXIT TUNES),iroha,INF,4,13,42
